"Date","Impressions (organic)","Impressions (sponsored)","Impressions (total)","Unique impressions (organic)","Clicks (organic)","Clicks (sponsored)","Clicks (total)","Reactions (organic)","Reactions (sponsored)","Reactions (total)","Comments (organic)","Comments (sponsored)","Comments (total)","Reposts (organic)","Reposts (sponsored)","Reposts (total)","Engagement rate (organic)","Engagement rate (sponsored)","Engagement rate (total)"
"2024-12-05 00:00:00.000000000",4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-06 00:00:00.000000000",12,0,12,7,1,0,1,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0.08333333333333333
"2024-12-07 00:00:00.000000000",5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-08 00:00:00.000000000",8,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-09 00:00:00.000000000",2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-10 00:00:00.000000000",7,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-11 00:00:00.000000000",198,0,198,148,5,0,5,2,0,2,5,0,5,0,0,0,0.06060606060606061,0,0.06060606060606061
"2024-12-12 00:00:00.000000000",33,0,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-13 00:00:00.000000000",15,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-14 00:00:00.000000000",14,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-15 00:00:00.000000000",8,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-16 00:00:00.000000000",13,0,13,6,2,0,2,0,0,0,0,0,0,0,0,0,0.15384615384615385,0,0.15384615384615385
"2024-12-17 00:00:00.000000000",7,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-18 00:00:00.000000000",25,0,25,2,6,0,6,0,0,0,0,0,0,0,0,0,0.24,0,0.24
"2024-12-19 00:00:00.000000000",3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-20 00:00:00.000000000",14,0,14,10,1,0,1,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,0.07142857142857142
"2024-12-21 00:00:00.000000000",17,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-22 00:00:00.000000000",17,0,17,5,1,0,1,0,0,0,0,0,0,0,0,0,0.058823529411764705,0,0.058823529411764705
"2024-12-23 00:00:00.000000000",41,0,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-24 00:00:00.000000000",8,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-25 00:00:00.000000000",11,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-26 00:00:00.000000000",5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-27 00:00:00.000000000",3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-28 00:00:00.000000000",28,0,28,6,4,0,4,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0.14285714285714285
"2024-12-29 00:00:00.000000000",16,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-12-30 00:00:00.000000000",25,0,25,11,1,0,1,0,0,0,0,0,0,0,0,0,0.04,0,0.04
"2024-12-31 00:00:00.000000000",7,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-01 00:00:00.000000000",9,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-02 00:00:00.000000000",140,0,140,83,42,0,42,0,0,0,0,0,0,0,0,0,0.3,0,0.3
"2025-01-03 00:00:00.000000000",34,0,34,21,10,0,10,1,0,1,0,0,0,0,0,0,0.3235294117647059,0,0.3235294117647059
"2025-01-04 00:00:00.000000000",15,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-05 00:00:00.000000000",20,0,20,13,1,0,1,0,0,0,0,0,0,0,0,0,0.05,0,0.05
"2025-01-06 00:00:00.000000000",123,0,123,47,4,0,4,9,0,9,0,0,0,4,0,4,0.13821138211382114,0,0.13821138211382114
"2025-01-07 00:00:00.000000000",220,0,220,82,14,0,14,7,0,7,0,0,0,1,0,1,0.1,0,0.1
"2025-01-08 00:00:00.000000000",76,0,76,38,11,0,11,1,0,1,0,0,0,0,0,0,0.15789473684210525,0,0.15789473684210525
"2025-01-09 00:00:00.000000000",66,0,66,23,8,0,8,0,0,0,0,0,0,0,0,0,0.12121212121212122,0,0.12121212121212122
"2025-01-10 00:00:00.000000000",36,0,36,22,0,0,0,1,0,1,0,0,0,0,0,0,0.027777777777777776,0,0.027777777777777776
"2025-01-11 00:00:00.000000000",61,0,61,13,3,0,3,1,0,1,0,0,0,0,0,0,0.06557377049180328,0,0.06557377049180328
"2025-01-12 00:00:00.000000000",35,0,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-13 00:00:00.000000000",50,0,50,23,2,0,2,0,0,0,0,0,0,0,0,0,0.04,0,0.04
"2025-01-14 00:00:00.000000000",36,0,36,10,0,0,0,1,0,1,0,0,0,0,0,0,0.027777777777777776,0,0.027777777777777776
"2025-01-15 00:00:00.000000000",21,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-16 00:00:00.000000000",13,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-17 00:00:00.000000000",28,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-18 00:00:00.000000000",12,0,12,11,2,0,2,1,0,1,0,0,0,0,0,0,0.25,0,0.25
"2025-01-19 00:00:00.000000000",19,0,19,9,2,0,2,0,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.10526315789473684
"2025-01-20 00:00:00.000000000",35,0,35,9,8,0,8,0,0,0,0,0,0,0,0,0,0.22857142857142856,0,0.22857142857142856
"2025-01-21 00:00:00.000000000",30,0,30,9,4,0,4,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0.13333333333333333
"2025-01-22 00:00:00.000000000",33,0,33,14,9,0,9,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0.2727272727272727
"2025-01-23 00:00:00.000000000",71,0,71,28,4,0,4,1,0,1,0,0,0,0,0,0,0.07042253521126761,0,0.07042253521126761
"2025-01-24 00:00:00.000000000",99,0,99,34,6,0,6,2,0,2,0,0,0,0,0,0,0.08080808080808081,0,0.08080808080808081
"2025-01-25 00:00:00.000000000",30,0,30,19,12,0,12,0,0,0,0,0,0,0,0,0,0.4,0,0.4
"2025-01-26 00:00:00.000000000",50,0,50,12,5,0,5,0,0,0,0,0,0,0,0,0,0.1,0,0.1
"2025-01-27 00:00:00.000000000",55,0,55,11,5,0,5,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0.09090909090909091
"2025-01-28 00:00:00.000000000",31,0,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-29 00:00:00.000000000",16,0,16,10,4,0,4,1,0,1,0,0,0,0,0,0,0.3125,0,0.3125
"2025-01-30 00:00:00.000000000",11,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-31 00:00:00.000000000",17,0,17,9,1,0,1,0,0,0,0,0,0,0,0,0,0.058823529411764705,0,0.058823529411764705
"2025-02-01 00:00:00.000000000",93,0,93,44,2,0,2,0,0,0,0,0,0,0,0,0,0.021505376344086023,0,0.021505376344086023
"2025-02-02 00:00:00.000000000",273,0,273,145,19,0,19,4,0,4,1,0,1,0,0,0,0.08791208791208792,0,0.08791208791208792
"2025-02-03 00:00:00.000000000",855,0,855,405,418,0,418,29,0,29,1,0,1,1,0,1,0.5251461988304094,0,0.5251461988304094
"2025-02-04 00:00:00.000000000",2417,0,2417,1143,1184,0,1184,35,0,35,16,0,16,0,0,0,0.5109640049648324,0,0.5109640049648324
"2025-02-05 00:00:00.000000000",549,0,549,296,245,0,245,9,0,9,17,0,17,0,0,0,0.4936247723132969,0,0.4936247723132969
"2025-02-06 00:00:00.000000000",399,0,399,186,215,0,215,6,0,6,3,0,3,0,0,0,0.5614035087719298,0,0.5614035087719298
"2025-02-07 00:00:00.000000000",238,0,238,132,92,0,92,3,0,3,8,0,8,0,0,0,0.4327731092436975,0,0.4327731092436975
"2025-02-08 00:00:00.000000000",445,0,445,202,190,0,190,5,0,5,4,0,4,0,0,0,0.44719101123595506,0,0.44719101123595506
"2025-02-09 00:00:00.000000000",319,0,319,161,111,0,111,2,0,2,3,0,3,0,0,0,0.36363636363636365,0,0.36363636363636365
"2025-02-10 00:00:00.000000000",284,0,284,145,95,0,95,2,0,2,3,0,3,0,0,0,0.352112676056338,0,0.352112676056338
"2025-02-11 00:00:00.000000000",328,0,328,141,64,0,64,3,0,3,10,0,10,0,0,0,0.2347560975609756,0,0.2347560975609756
"2025-02-12 00:00:00.000000000",199,0,199,91,46,0,46,4,0,4,1,0,1,0,0,0,0.2562814070351759,0,0.2562814070351759
